"","parameters","MLE","MLE_Low","MLE_Upper","median","Lower.95..CI","Upper.95..CI"
"1","a",1.27581412849389,0.679822866002067,1.87180539098571,1.14308105594309,0.577929503846394,1.81181528520351
"2","alpha",3.58161611920354,1.44700420655836,5.71622803184872,3.13641696975668,1.78234427074143,6.12154971215775
"3","b",6.73654138878688e-06,1.69498227636233e-06,1.17781005012114e-05,5.44517461217446e-06,1.19891285289018e-06,1.1172232535131e-05
"4","Smax",148444.126189816,37350.0507754086,259538.201604224,183648.839795148,89507.6249977338,834088.983078597
"5","sigma",0.797648335321765,0.595815525044269,0.999481145599262,0.837991112373435,0.658159067101515,1.11895418143745
