"","model","AIC","deltaAIC"
"1","Simple ricker",77.5710639458348,0
"2","Ricker + AutoCorr",77.8429833274197,0.271919381584965
"3","Ricker + T.V. Alpha",80.5430464801215,2.97198253428675
