"","parameters","MLE","MLE_Low","MLE_Upper","median","Lower.95..CI","Upper.95..CI"
"1","a",1.59393404029724,0.976584346187646,2.21128373440684,1.50167842289037,0.946370390547273,2.22312276532117
"2","alpha",4.92307847088815,1.88381748280782,7.96233945896849,4.48921755608762,2.57634155465966,9.23612814623205
"3","b",6.7365491444815e-06,1.69502105333068e-06,1.17780772356323e-05,5.44636446019971e-06,1.20764836007482e-06,1.11120718422583e-05
"4","Smax",148443.955288174,37350.8192483466,259537.091328002,183608.718681362,89992.2187608651,828055.61044136
"5","sigma",0.797648315840235,0.595815516403413,0.999481115277056,0.838007395041108,0.657036801557829,1.11877963967756
