"","parameters","MLE","MLE_Low","MLE_Upper","median","Lower.95..CI","Upper.95..CI"
"1","a",1.36304429106638,0.669692554590336,2.05639602754243,1.36297367963772,0.860572396295187,7.9472633777809
"2","alpha",3.90807252098276,1.19840365228505,6.61774138968048,3.90779657614562,2.36451374550207,7.9472633777809
"3","b",4.82983745397982e-06,-8.73980084757611e-07,1.05336549927172e-05,4.12284277344969e-06,1.93916764866794e-06,9.66992828505936e-06
"4","Smax",207046.305290459,-37465.9290650451,451558.539645964,242551.087915736,103413.38327707,515685.170742835
"5","rho",0.239492114428959,-0.0764154402729604,0.555399669130878,0.263021806007248,-0.0662634601154168,0.531097387296601
"6","sigma",0.795768095817345,0.583882502768916,1.00765368886577,0.816192751120479,0.640065393363715,1.08885525118752
