"","parameters","MLE","MLE_Low","MLE_Upper","median","Lower.95..CI","Upper.95..CI"
"1","a",1.09498398552431,0.421991075260469,1.76797689578814,1.04184558951947,0.544047266759661,5.41266599757014
"2","alpha",2.98913481358324,0.977468276218905,5.00080135094757,2.83444340903181,1.72296607311753,5.41266599757014
"3","b",5.01083284248195e-06,-6.47490821140628e-07,1.06691565061045e-05,4.2301353177469e-06,1.94601876397782e-06,9.79663154571707e-06
"4","Smax",199567.623074946,-25787.7698578101,424923.016007703,236399.056991137,102075.901849388,513869.659697775
"5","rho",0.218248517057542,-0.0928242609588935,0.529321295073978,0.241083116456726,-0.0845525568144039,0.504572341202581
"6","sigma",0.793501229938672,0.585405207009558,1.00159725286779,0.817232005132385,0.640852022149027,1.09297968477104
