"","model","AIC","deltaAIC"
"1","Simple ricker",77.5710639455759,0
"2","Ricker + AutoCorr",77.626841530837,0.0557775852611115
"3","Ricker + T.V. Alpha",80.5430464801222,2.97198253454629
