Year,Mult
2019,1
2020,1.025
2021,1.050625
2022,1.076890625
2023,1.103812891
2024,1.131408213
2025,1.159693418
2026,1.188685754
2027,1.218402898
2028,1.24886297
2029,1.25
2030,1.25
