Year,Mult
2015,1
2019,0.958333333
2020,0.916666667
2021,0.875
2022,0.833333333
2023,0.791666667
2024,0.75
2025,0.708333333
2026,0.666666667
2027,0.625
2028,0.583333333
2029,0.541666667
2030,0.5
