Year,Mult
2013,1
2019,1.006666667
2020,1.013333333
2021,1.02
2022,1.026666667
2023,1.033333333
2024,1.04
2025,1.046666667
2026,1.053333333
2027,1.06
2028,1.066666667
2029,1.073333333
2030,1.08
2031,1.086666667
2032,1.093333333
2033,1.1
