Year,Mult
2013,1
2019,0.966666667
2020,0.933333333
2021,0.9
2022,0.866666667
2023,0.833333333
2024,0.8
2025,0.766666667
2026,0.733333333
2027,0.7
2028,0.666666667
2029,0.633333333
2030,0.6
2031,0.566666667
2032,0.533333333
2033,0.5
