Year,Mult
2013,1
2019,0.973333333
2020,0.946666667
2021,0.92
2022,0.893333333
2023,0.866666667
2024,0.84
2025,0.813333333
2026,0.786666667
2027,0.76
2028,0.733333333
2029,0.706666667
2030,0.68
2031,0.653333333
2032,0.626666667
2033,0.6
