Year,Mult
2013,1
2019,1.013333333
2020,1.026666667
2021,1.04
2022,1.053333333
2023,1.066666667
2024,1.08
2025,1.093333333
2026,1.106666667
2027,1.12
2028,1.133333333
2029,1.146666667
2030,1.16
2031,1.173333333
2032,1.186666667
2033,1.2
