Year,Mult
2013,1
2019,0.993333333
2020,0.986666667
2021,0.98
2022,0.973333333
2023,0.966666667
2024,0.96
2025,0.953333333
2026,0.946666667
2027,0.94
2028,0.933333333
2029,0.926666667
2030,0.92
2031,0.913333333
2032,0.906666667
2033,0.9
