StockID,Year,Age,Period,AtSea,AtSea_SD
Harrison,2015,2,1,1,0
Harrison,2015,3,1,1,0
Harrison,2015,4,1,1,0
Harrison,2015,5,1,1,0
Harrison,2015,6,1,1,0
