StockID,Year,Age,Maturation,SD
Harrison,2015,2,0.108844444,0.079143574
Harrison,2015,3,0.232122222,0.141735553
Harrison,2015,4,0.947022222,0.04997994
Harrison,2015,5,1,0
Harrison,2015,6,1,0
