StockID,FisheryID,FisheryName,Sector,HR_Age2,HR_Age3,HR_Age4,HR_Age5,HR_Age6,SD_Age2,SD_Age3,SD_Age4,SD_Age5,SD_Age6
Harrison,3,Term_Fishery,TERM,0.029047071,0.065213039,0.030238083,0.008403361,0,0.063861528,0.070248855,0.023854937,0.022233204,0
Harrison,4,US_Term_Fishery,TERM,0,0.003778923,0.000236258,0.00621118,0,0,0.006853669,0.000625079,0.016433238,0
