StockID,FisheryID,FisheryName,Period,ER_Age2,ER_Age3,ER_Age4,ER_Age5,ER_Age6,SD_Age2,SD_Age3,SD_Age4,SD_Age5,SD_Age6
Harrison,1,PT_Fishery,1,0.016781824,0.073623241,0.130380948,0.050732601,0,0.004536,0.029417,0.034982,0.088092,0
Harrison,2,US_PT_Fishery,1,0.011159797,0.055745429,0.063350329,0.00952381,0,0.005264494,0.019057566,0.051463751,0.025197632,0
