StockID,FisheryID,FisheryName,Period,ER_Age2,ER_Age3,ER_Age4,ER_Age5,ER_Age6
Stock1,1,Fishery1,1,0.012730341,0.030384029,0.150915913,0.196371818,0
Stock2,1,Fishery1,1,0.001089209,0.003667169,0.033661497,0,0
Stock3,1,Fishery2,1,0,0,0,0,0
Stock1,2,Fishery2,1,0.008720227,0.040596594,0.171248953,0.294146024,0
Stock2,2,Fishery2,1,0.087347133,0.316501747,0.402881453,0.576923077,0
Stock3,2,Fishery2,1,0.000497921,0.002649273,0.01401167,0,0
