StockID,FisheryID,FisheryName,Sector,HR_Age2,HR_Age3,HR_Age4,HR_Age5,HR_Age6
Stock1,3,Stock1_Term,TERM,0.1113,0.0626,0.1166,0.0701,0.0965
Stock2,4,Stock2_Term,TERM,0,0,0.111111111,0.143259846,0.141157462
Stock3,5,Stock3_Term,TERM,0,0,0.14495,0.14495,0.14495
