Year,Mult
2015,1
2020,0.958333333
2021,0.916666667
2022,0.875
2023,0.833333333
2024,0.791666667
2025,0.75
2026,0.708333333
2027,0.666666667
2028,0.625
2029,0.583333333
2030,0.541666667
2031,0.5
