Year,Mult
2015,1
2020,0.983333333
2021,0.966666667
2022,0.95
2023,0.933333333
2024,0.916666667
2025,0.9
2026,0.883333333
2027,0.866666667
2028,0.85
2029,0.833333333
2030,0.816666667
2031,0.8
