Year,Mult
2015,1
2020,1.016666667
2021,1.033333333
2022,1.05
2023,1.066666667
2024,1.083333333
2025,1.1
2026,1.116666667
2027,1.133333333
2028,1.15
2029,1.166666667
2030,1.183333333
2031,1.2
